sample-id	Locality	SampleType	Species	SampleOrigin
A-AnZa01	Zacapu	Water	A. andersoni	Water
A-AnZa02	Zacapu	Water	A. andersoni	Water
A-AnZa03	Zacapu	Water	A. andersoni	Water
A-AnZa05	Zacapu	Water	A. andersoni	Water
A-DuPa02	Patzcuaro	Water	A. dumerillii	Water
A-DuPa03	Patzcuaro	Water	A. dumerillii	Water
A-TaAl01	Alchichica	Water	A. taylori	Water
A-TaAl02	Alchichica	Water	A. taylori	Water
A-TaAl03	Alchichica	Water	A. taylori	Water
A-TaAl04	Alchichica	Water	A. taylori	Water
A-TaAl05	Alchichica	Water	A. taylori	Water
A-X1M01	CDMX	Water	A. mexicanum	Water
A-X1M02	CDMX	Water	A. mexicanum	Water
A-X1M03	CDMX	Water	A. mexicanum	Water
A-X1M04	CDMX	Water	A. mexicanum	Water
A-X1M05	CDMX	Water	A. mexicanum	Water
A-X2M01	CDMX	Water	A. mexicanum	Water
A-X2M02	CDMX	Water	A. mexicanum	Water
A-X2M03	CDMX	Water	A. mexicanum	Water
A-X2M04	CDMX	Water	A. mexicanum	Water
A-X2M05	CDMX	Water	A. mexicanum	Water
A-X3M01	CDMX	Water	A. mexicanum	Water
A-X3M02	CDMX	Water	A. mexicanum	Water
A-X3M03	CDMX	Water	A. mexicanum	Water
A-X3M04	CDMX	Water	A. mexicanum	Water
A-X3M05	CDMX	Water	A. mexicanum	Water
M-AnZa01	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa02	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa03	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa04	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa05	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa06	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa07	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa08	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa09	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa10	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa11	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa12	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa13	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa14	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa15	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa16	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa17	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa18	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa19	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa20	Zacapu	Axolotl	A. andersoni	A. andersoni
M-AnZa21	Zacapu	Axolotl	A. andersoni	A. andersoni
