sample-id	Locality	SampleType	Species	SampleName
AAnZa1	Zacapu	Water	A. andersoni	AAnZa1
AAnZa2	Zacapu	Water	A. andersoni	AAnZa2
AAnZa3	Zacapu	Water	A. andersoni	AAnZa3
AAnZa5	Zacapu	Water	A. andersoni	AAnZa5
ADuPa2	Patzcuaro	Water	A. dumerilii	ADuPa2
ADuPa3	Patzcuaro	Water	A. dumerilii	ADuPa3
ATaAl1	Alchichica	Water	A. taylori	ATaAl1
ATaAl2	Alchichica	Water	A. taylori	ATaAl2
ATaAl3	Alchichica	Water	A. taylori	ATaAl3
ATaAl4	Alchichica	Water	A. taylori	ATaAl4
ATaAl5	Alchichica	Water	A. taylori	ATaAl5
AX1M1	CDMX	Water	A. mexicanum	AX1M1
AX1M2	CDMX	Water	A. mexicanum	AX1M2
AX1M3	CDMX	Water	A. mexicanum	AX1M3
AX1M4	CDMX	Water	A. mexicanum	AX1M4
AX1M5	CDMX	Water	A. mexicanum	AX1M5
AX2M1	CDMX	Water	A. mexicanum	AX2M1
AX2M2	CDMX	Water	A. mexicanum	AX2M2
AX2M3	CDMX	Water	A. mexicanum	AX2M3
AX2M4	CDMX	Water	A. mexicanum	AX2M4
AX2M5	CDMX	Water	A. mexicanum	AX2M5
AX3M1	CDMX	Water	A. mexicanum	AX3M1
AX3M2	CDMX	Water	A. mexicanum	AX3M2
AX3M3	CDMX	Water	A. mexicanum	AX3M3
AX3M4	CDMX	Water	A. mexicanum	AX3M4
AX3M5	CDMX	Water	A. mexicanum	AX3M5
MAnZa1	Zacapu	Axolotl	A. andersoni	MAnZa1
MAnZa10	Zacapu	Axolotl	A. andersoni	MAnZa10
MAnZa11	Zacapu	Axolotl	A. andersoni	MAnZa11
MAnZa12	Zacapu	Axolotl	A. andersoni	MAnZa12
MAnZa13	Zacapu	Axolotl	A. andersoni	MAnZa13
MAnZa14	Zacapu	Axolotl	A. andersoni	MAnZa14
MAnZa15	Zacapu	Axolotl	A. andersoni	MAnZa15
MAnZa16	Zacapu	Axolotl	A. andersoni	MAnZa16
MAnZa17	Zacapu	Axolotl	A. andersoni	MAnZa17
MAnZa18	Zacapu	Axolotl	A. andersoni	MAnZa18
MAnZa19	Zacapu	Axolotl	A. andersoni	MAnZa19
MAnZa2	Zacapu	Axolotl	A. andersoni	MAnZa2
MAnZa20	Zacapu	Axolotl	A. andersoni	MAnZa20
MAnZa21	Zacapu	Axolotl	A. andersoni	MAnZa21
MAnZa22	Zacapu	Axolotl	A. andersoni	MAnZa22
MAnZa23	Zacapu	Axolotl	A. andersoni	MAnZa23
MAnZa24	Zacapu	Axolotl	A. andersoni	MAnZa24
MAnZa25	Zacapu	Axolotl	A. andersoni	MAnZa25
MAnZa26	Zacapu	Axolotl	A. andersoni	MAnZa26
MAnZa27	Zacapu	Axolotl	A. andersoni	MAnZa27
MAnZa28	Zacapu	Axolotl	A. andersoni	MAnZa28
MAnZa29	Zacapu	Axolotl	A. andersoni	MAnZa29
MAnZa3	Zacapu	Axolotl	A. andersoni	MAnZa3
MAnZa30	Zacapu	Axolotl	A. andersoni	MAnZa30
MAnZa4	Zacapu	Axolotl	A. andersoni	MAnZa4
MAnZa5	Zacapu	Axolotl	A. andersoni	MAnZa5
MAnZa6	Zacapu	Axolotl	A. andersoni	MAnZa6
MAnZa7	Zacapu	Axolotl	A. andersoni	MAnZa7
MAnZa8	Zacapu	Axolotl	A. andersoni	MAnZa8
MAnZa9	Zacapu	Axolotl	A. andersoni	MAnZa9
MDuPa1	Patzcuaro	Axolotl	A. dumerilii	MDuPa1
MDuPa10	Patzcuaro	Axolotl	A. dumerilii	MDuPa10
MDuPa11	Patzcuaro	Axolotl	A. dumerilii	MDuPa11
