sample-id,Locality,Species,Kingdom,SVL,Weight,Elevation,Temperature,pH,Bio_1,Bio_9,Bio_10,Bio_11,Bio_12,Bio_13,Bio_14,Bio_15,Bio_16,Bio_17,Bio_18,Bio_19,Bio_2,Bio_3,Bio_4,Bio_5,Bio_6,Bio_7,Bio_8,Pp,Tmin,Tmax,DO
MAnZa01,Zacapu,A. andersoni,Fungi,13,130,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa02,Zacapu,A. andersoni,Fungi,14,99,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa03,Zacapu,A. andersoni,Fungi,12,98,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa04,Zacapu,A. andersoni,Fungi,13,122,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa05,Zacapu,A. andersoni,Fungi,12,97,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa06,Zacapu,A. andersoni,Fungi,14,128,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa07,Zacapu,A. andersoni,Fungi,11,124,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa08,Zacapu,A. andersoni,Fungi,13,89,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa09,Zacapu,A. andersoni,Fungi,14,79,1984,19.483,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,8.19,9.061034483,29.98,233.476
MAnZa11,Zacapu,A. andersoni,Fungi,14,102,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa12,Zacapu,A. andersoni,Fungi,13,88,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa13,Zacapu,A. andersoni,Fungi,12,100,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa15,Zacapu,A. andersoni,Fungi,14,98,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa18,Zacapu,A. andersoni,Fungi,13,97,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa19,Zacapu,A. andersoni,Fungi,14,99,1984,18.569,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,171.232
MAnZa22,Zacapu,A. andersoni,Fungi,10,93,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
MAnZa24,Zacapu,A. andersoni,Fungi,12,103,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
MAnZa25,Zacapu,A. andersoni,Fungi,12,99,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
MAnZa29,Zacapu,A. andersoni,Fungi,12,117,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
MAnZa30,Zacapu,A. andersoni,Fungi,13,129,1984,18.613,9.38,17.06,16.98,20,13.67,860,206,5,108.62,556,20,184,34,16.8,62.69,255.25,30,3.2,26.8,18.25,42.32741379,11.32327586,30.4262069,189.696
MDuPa01,Patzcuaro,A. dumerillii,Fungi,15,149,2039,20.539,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,97.3
MDuPa02,Patzcuaro,A. dumerillii,Fungi,13,184,2039,20.819,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,101.2
MDuPa03,Patzcuaro,A. dumerillii,Fungi,15,123,2039,20.603,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,95.6
MDuPa04,Patzcuaro,A. dumerillii,Fungi,13,144,2039,20.348,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,93.6
MDuPa05,Patzcuaro,A. dumerillii,Fungi,14,127,2039,20.348,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,37.92446429,11.0887931,28.60758621,93.6
MDuPa07,Patzcuaro,A. dumerillii,Fungi,15,126,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,139.5503448,12.78275862,26.38931034,166.68
MDuPa08,Patzcuaro,A. dumerillii,Fungi,14,89,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,139.5503448,12.78275862,26.38931034,166.68
MDuPa09,Patzcuaro,A. dumerillii,Fungi,14.4,104,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.78275862,24.13192982,105.8
MDuPa10,Patzcuaro,A. dumerillii,Fungi,15,110,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.78275862,24.13192982,106.6
MDuPa11,Patzcuaro,A. dumerillii,Fungi,12.5,124,2039,19.273,9.2,16.5,16.12,18.9,13.37,904,210,5,108.55,581,18,204,36,15.19,63.83,226.56,27.8,4,23.8,17.8,210.3094828,12.78275862,24.13192982,89.8
MTaAl01,Alchichica,A. taylori,Fungi,9,33,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl03,Alchichica,A. taylori,Fungi,3,3,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl04,Alchichica,A. taylori,Fungi,2.5,0.5,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl05,Alchichica,A. taylori,Fungi,10,62,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl06,Alchichica,A. taylori,Fungi,8.5,31,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl07,Alchichica,A. taylori,Fungi,7.5,22,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
MTaAl08,Alchichica,A. taylori,Fungi,6.5,19,2316,19.98,8.981666667,14.52,11.98,16.63,11.73,422,81,4,73.93,193,22,163,22,17.43,69.46,202.21,26,0.9,25.1,16.5,51.48,8.123448276,25.98275862,59.68
