sample-id	Locality	Host species	SVL	Weight	Elevation	Temperature	pH	Bio_1	Bio_9	Bio_10	Bio_11	Bio_12	Bio_13	Bio_14	Bio_15	Bio_16	Bio_17	Bio_18	Bio_19	Bio_2	Bio_3	Bio_4	Bio_5	Bio_6	Bio_7	Bio_8	Pp	Tmin	Tmax	DO
M-AnZa01	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	130	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa02	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	14	99	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa03	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	98	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa04	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	122	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa05	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	97	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa06	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	14	128	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa08	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	89	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa09	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	14	79	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	8.19	9.061034483	29.98	233.476
M-AnZa10	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	79	1984	19.483	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	233.476
M-AnZa11	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	14	102	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa12	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	88	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa13	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	12	100	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa14	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	98	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa15	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	14	98	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa16	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	13	118	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
M-AnZa17	"Zacapu Lake, Michoacan, Mexico"	Ambystoma andersoni	23	98	1984	18.569	9.38	17.06	16.98	20	13.67	860	206	5	108.62	556	20	184	34	16.8	62.69	255.25	30	3.2	26.8	18.25	42.32741379	11.32327586	30.4262069	171.232
